term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.18910902238094945,0.05145928932416181,-32.36406126295186,8.798209946363968e-230,0.17087178198586336,0.20906522349615153
algorithm_versionv1.3,1.0062626441496556,0.0463669222046684,0.13464588524328433,0.8928918607398744,0.9192736692995368,1.1025294537556825
algorithm_versionv1.4,0.9960743097575245,0.04491625419439743,-0.087572217693887,0.9302166843911975,0.9126110632356084,1.088331712920989
algorithm_versionv2.0,0.9734921468537652,0.049346041990761515,-0.5444311243251181,0.5861448326767569,0.8840435669758256,1.0727328340831712
position_in_list,0.9964627844429691,0.00222281548089613,-1.5941432503523267,0.11090395370218867,0.9921305305014676,1.0008132510559504
time_of_dayevening,0.965942391107386,0.036219538160113994,-0.9566958841265343,0.3387207761723651,0.899741168211174,1.037007376934172
time_of_daymorning,0.9664273024581551,0.03622148495360765,-0.9427885280957079,0.34578908070471853,0.900189429372794,1.0375319423290474
time_of_daynight,0.9798148129106619,0.03620362763589417,-0.5632499537531729,0.5732646915187378,0.9126924999572319,1.0518689393047227
